Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah
10925.0,110410.0,27500.0,37500.0,13000.0,28540.0,39140.0,12300.0,57660.0,54000.0,121000.0,45500.0,2360.0,10900.0,121667.0,13740.0,11488.0,100000.0,10650.0,3865.0,70000.0,15900.0,42833.0,44567.0,107500.0,10140.0,12110.0,144167.0,2310.0,22900.0,34960.0,10080.0,39460.0,77075.0,21900.0,5050.0,13267.0,24840.0
12425.0,101960.0,32500.0,43300.0,13388.0,30640.0,39140.0,12300.0,59060.0,49000.0,120000.0,44000.0,2360.0,10900.0,120000.0,13740.0,12175.0,96667.0,10900.0,4260.0,71667.0,15900.0,42833.0,44567.0,87500.0,10140.0,12660.0,146667.0,2370.0,23100.0,35060.0,9940.0,39160.0,75825.0,22000.0,5100.0,13267.0,24140.0
11263.0,103500.0,35000.0,43860.0,13125.0,29900.0,40000.0,12450.0,59840.0,49000.0,119500.0,43040.0,2280.0,10433.0,118333.0,13700.0,11675.0,95833.0,9460.0,3860.0,63333.0,15767.0,41733.0,44100.0,83350.0,10140.0,12040.0,146667.0,2400.0,23000.0,34260.0,9860.0,37960.0,83667.0,21060.0,5300.0,13517.0,23660.0
11525.0,107160.0,37500.0,42400.0,13000.0,30640.0,41500.0,12550.0,58800.0,53760.0,118500.0,45460.0,2360.0,10900.0,117500.0,13640.0,12175.0,81667.0,13100.0,4060.0,56667.0,15900.0,42833.0,44567.0,75750.0,10140.0,12660.0,145500.0,2400.0,23000.0,33760.0,9940.0,40660.0,81450.0,21200.0,5200.0,13100.0,25140.0
11900.0,101460.0,35000.0,41700.0,13388.0,33340.0,41000.0,12425.0,58800.0,54260.0,120000.0,45860.0,2360.0,10900.0,123333.0,13740.0,12175.0,93333.0,10300.0,3960.0,73333.0,15900.0,42833.0,44567.0,73250.0,10140.0,12660.0,146667.0,2320.0,22900.0,34560.0,9940.0,39660.0,84433.0,22100.0,5000.0,12933.0,23440.0
11113.0,111000.0,40000.0,44200.0,10740.0,34740.0,42840.0,12425.0,59500.0,53540.0,121000.0,48500.0,2340.0,11000.0,120000.0,13340.0,13250.0,85000.0,11940.0,4300.0,63333.0,15900.0,42833.0,44567.0,90000.0,10200.0,12900.0,151667.0,2430.0,22960.0,33560.0,10200.0,38660.0,83950.0,21340.0,5200.0,9688.0,24900.0
11675.0,106000.0,32500.0,40600.0,13613.0,30740.0,43340.0,12550.0,58000.0,52040.0,120000.0,47500.0,2340.0,11000.0,118333.0,13840.0,12375.0,91000.0,11140.0,3980.0,79333.0,15900.0,42833.0,44567.0,90000.0,10200.0,12300.0,143333.0,2340.0,22860.0,37760.0,10100.0,40160.0,66160.0,22740.0,4600.0,13750.0,24200.0
11075.0,107000.0,35000.0,41600.0,13425.0,32240.0,39340.0,12175.0,57000.0,49540.0,123000.0,46000.0,2340.0,11000.0,121667.0,13940.0,12875.0,92667.0,11040.0,4080.0,72667.0,15900.0,41500.0,43233.0,90000.0,10200.0,12300.0,146667.0,2340.0,23360.0,35560.0,10300.0,38660.0,85825.0,22840.0,4900.0,13083.0,24400.0
10825.0,111600.0,35000.0,41500.0,13075.0,34900.0,37400.0,12325.0,58300.0,49660.0,119000.0,45500.0,2360.0,10767.0,116667.0,13450.0,13750.0,83333.0,11160.0,4000.0,53333.0,15567.0,42500.0,44333.0,90000.0,10240.0,12360.0,146667.0,2530.0,23160.0,36400.0,9900.0,38860.0,87767.0,22600.0,5160.0,12633.0,25000.0
10660.0,110600.0,32500.0,39500.0,13513.0,30100.0,39400.0,12100.0,63400.0,49660.0,122000.0,45800.0,2360.0,11433.0,125000.0,13400.0,12000.0,76667.0,10160.0,4100.0,66667.0,15567.0,42500.0,44333.0,90000.0,10140.0,12260.0,145833.0,2470.0,22060.0,36600.0,9800.0,37860.0,87767.0,22100.0,5160.0,12725.0,23500.0
