Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah,,
10740,109000,27500,32440,13400,28060,36000,12200,38340,38660,120000,34000,2440,12150,130000,12710,13050,96667,11540,3660,65000,15900,42550,44175,89150,10020,11400,149167,2320,22940,34940,10340,34900,88750,22100,5060,12575,25340,10/2/2018,
10690,107000,25000,27740,13350,26960,33800,12300,36540,36760,120000,34400,2440,12150,130000,12610,12675,96667,10440,3660,63333,15900,42550,44175,89150,9920,11300,146667,2260,22440,34940,10140,35400,88750,21600,5060,12450,24540,10/3/2018,
10640,109000,25000,27840,13300,26260,34000,12150,38340,36660,120000,35000,2440,12150,130000,12660,12050,99167,11540,3680,60000,15900,42550,44175,89150,10020,11300,146667,2240,22540,36740,10240,36400,83750,21300,5060,12450,23940,10/4/2018,
10540,105000,26000,28740,13450,25060,32000,12250,35340,35160,120000,34500,2440,12150,130000,12960,12925,106667,9940,3660,68333,15900,42550,44175,89150,9920,11900,146667,2320,22440,36540,10140,36900,88750,21900,5260,12825,25040,10/5/2018,
10540,111000,23500,28740,13100,26560,34200,12150,35540,37660,120000,34400,2440,12150,130000,12810,12050,93333,10840,3840,73333,15900,42550,44175,89150,9920,11300,146667,2280,22440,36740,10240,35400,82500,21300,5060,12575,24440,10/8/2018,
10540,107000,23500,29440,13500,25060,33100,12400,37240,37660,121000,35500,2440,12150,133333,12860,12925,113333,10040,3660,76667,15900,42550,44175,89150,10320,12100,151667,2410,22940,34940,10140,36400,93750,23000,5260,12888,25740,10/9/2018,
10740,111000,23500,31440,13000,28260,35900,11900,38740,40660,120000,34500,2440,12150,128333,12860,12675,93333,10540,3740,66667,15900,42550,44175,89150,9920,11400,146667,2370,22940,38740,10040,35400,87500,22500,5060,12575,26740,10/10/2018,
10940,109500,22500,31140,13500,27360,38000,12000,38240,38160,120000,35500,2440,12150,130000,12610,12300,96667,10540,3660,70000,15900,42550,44175,89150,9920,11300,150000,2360,22740,37540,10140,35400,87500,22500,5060,12575,26640,10/11/2018,
10740,112000,23500,31940,12900,27260,36500,11800,36740,40160,120000,35500,2440,12150,126667,12760,11925,93333,10240,3840,66667,15900,42550,44175,89150,9920,11300,146667,2290,22340,38940,10140,35400,83750,21900,5060,12575,26440,10/12/2018,
10990,111000,25000,30940,13100,26160,37000,11900,36240,39660,120000,35300,2440,12150,126667,12460,12175,93333,10540,3680,66667,15900,42425,44175,89150,9920,11300,146667,2350,22640,38540,10140,35400,83750,21800,5060,12575,26840,10/15/2018,
10440,110000,22500,30040,13200,26960,36100,11900,36340,37160,120000,34700,2440,12150,126667,12810,13175,100000,11040,3680,70000,15900,42550,44175,89150,10020,11300,146667,2320,22640,37940,10240,35900,85000,22000,5060,12450,27240,10/16/2018,
10640,111000,26500,31340,13400,26960,39200,11900,39740,42460,119500,39800,2440,12150,126667,12510,12175,100000,11840,3660,58333,15900,42550,44175,89150,9920,11400,148333,2210,22440,38940,9940,36400,89375,22200,5260,12575,26740,10/17/2018,
10640,110000,26500,30940,13200,26460,38200,11500,37740,42160,120000,39000,2440,12150,126667,12260,11800,100000,10540,3660,68333,15900,42550,44175,89150,9920,11300,146667,2310,22240,38940,9940,36400,92500,21800,5260,10060,26740,10/18/2018,
10740,110000,26500,30940,13000,26460,37200,11700,38340,40160,120000,39000,2440,12150,126667,12660,11800,93333,10540,3840,68333,15900,42550,44175,89150,9920,11300,146667,2370,22240,38940,9940,35400,86250,21800,5260,12575,26940,10/19/2018,
10740,111000,26500,30740,13100,26860,37800,11900,40340,39660,120000,39700,2440,12150,126667,12810,12300,93333,10540,3840,68333,15900,42550,44175,89150,9920,11300,146667,2320,22340,38540,10040,35400,86250,22300,5260,12575,26840,10/22/2018,
10690,111000,26500,31940,12900,27160,37700,11900,39340,40160,120000,38500,2440,12150,126667,12810,12175,93333,10540,3840,70000,15900,42550,44175,89150,9920,11300,146667,2320,22440,38740,10040,35400,86250,21800,5260,12450,26740,10/23/2018,
10740,111000,26500,32940,13100,27360,35500,11900,39840,40160,120000,40000,2440,12150,126667,12860,12175,93333,10540,3840,73333,15900,42550,44175,89150,9920,11300,146667,2290,22240,38340,10140,35400,86250,22100,5260,12575,26740,10/24/2018,
10540,112000,24000,31040,13600,26660,36200,12400,40340,43160,120000,40800,2440,12150,133333,12860,12550,111667,10540,3640,81667,15900,42550,44175,89150,9920,11300,150000,2360,22040,36540,10140,37400,84375,22000,5260,12575,25740,10/25/2018,
10440,111500,24000,30540,13500,27160,35400,12200,39840,42160,119000,40000,2440,12150,130000,12760,12550,106667,10540,3640,83333,15900,42550,44175,89150,9920,11400,146667,2390,21940,36540,10140,36400,84375,22800,5260,12450,25440,10/26/2018,
10490,110500,26500,29540,13300,24860,35700,11900,38340,40160,119000,40000,2440,12150,126667,12510,12175,93333,10840,3680,60000,15900,42425,44175,89150,9920,11400,146667,2260,21940,36940,9840,35400,84375,22200,5260,12513,25540,10/29/2018,
10860,109340,26500,29200,13300,25560,36960,12100,37640,41800,118160,42400,2440,12850,126667,12460,12200,93333,11840,3280,58333,14167,42575,44325,88350,10360,11800,148333,2230,21800,36800,10100,37200,82075,21460,5200,13000,25160,10/30/2018,
10760,108340,26500,30200,13250,26260,38260,12200,39140,43000,118660,42900,2440,12850,126667,12660,13075,100000,11440,3480,65000,14167,42700,44325,88350,10360,11700,143333,2260,21700,35800,10300,35200,90825,21460,5200,12750,25560,10/31/2018,
10860,106640,26500,29000,13200,25260,37260,12000,37640,41000,118660,42400,2440,12850,126667,12360,12075,100000,10940,3280,61667,14167,42700,44325,88350,10360,11700,143333,2260,21600,36600,10100,35200,89575,20860,5200,12875,25260,11/1/2018,
10860,108340,26500,29600,13200,26960,35160,12000,35640,38000,118660,38400,2440,12850,126667,12360,12325,100000,10940,3420,60000,14167,42950,44575,88350,10360,11700,143333,2210,21700,36400,10100,36200,89575,21460,5400,12875,24060,11/2/2018,
10760,108340,26500,28700,13300,26160,34360,11800,35240,38000,118660,37400,2440,12850,126667,12260,12450,93333,10940,3420,66667,14167,42825,44575,88350,10260,11700,143333,2260,22000,36000,10100,37200,89575,22260,5400,13000,24060,11/5/2018,
10710,106340,26500,28600,13200,26160,33360,11800,34240,39000,118160,36400,2440,12850,126667,12360,12325,93333,10840,3220,63333,14167,42825,44575,88350,10260,11700,143333,2260,22000,36000,10100,37200,89575,21960,5400,12875,23560,11/6/2018,
10760,112340,26500,30100,13400,27660,34060,12000,35240,38500,119660,38900,2440,12850,131667,12460,13325,100000,10740,3120,76667,14167,42825,44575,88350,10260,11700,148333,2260,22200,36400,10300,37200,92700,22560,5400,13063,24960,11/7/2018,
10560,108840,26500,29600,13200,26560,33760,11700,37640,36500,117660,36900,2440,12850,126667,12460,12700,93333,11440,3220,63333,13500,42825,44575,88350,10260,11800,143333,2260,22200,35500,10200,37200,92700,22660,5400,12750,23960,11/8/2018,
10760,108340,25000,29300,13500,27060,35260,12000,39140,36000,118660,37400,2440,12850,126667,12960,12825,106667,10340,3200,65000,13500,42950,44575,88350,10160,12300,146667,2220,21950,36200,10100,36700,92075,22360,5400,13000,24360,11/9/2018,
10860,108340,26500,28600,13100,27860,32760,11700,36140,35500,118660,36400,2440,12850,126667,13060,12325,93333,11040,3380,63333,13500,42950,44575,88350,10160,11700,146667,2320,22000,35800,9900,35200,85825,21860,5400,13000,24160,11/12/2018,
10540,110500,25000,28740,13310,29140,32540,11950,39660,37160,120000,36660,2440,12000,126667,12440,12175,93333,10800,3540,65000,15433,43175,44750,89150,9580,11460,143333,2250,23000,36800,9900,38360,81675,22600,5260,12700,25100,11/13/2018,
10490,111500,26500,28940,13460,28340,32040,11800,40160,37160,120000,36160,2440,12000,130000,12890,12550,106667,10700,3500,73333,15433,43300,44750,89150,9680,11460,143333,2260,23300,36000,10100,37860,81675,22600,5260,12575,25000,11/14/2018,
10690,122340,26500,29460,13740,28060,33200,11960,37860,36160,117160,37260,2460,12000,126667,12810,12750,101667,10800,3780,68333,16233,42800,44575,89150,10000,11660,145000,2300,22140,36660,10540,38940,82075,23600,5200,12825,25740,11/15/2018,
10640,118040,24000,28160,13540,27060,32400,11560,35860,37160,118660,35760,2460,12000,126667,12560,11750,93333,10500,3680,64167,16233,42800,44575,89150,10000,11560,143333,2300,22640,36860,10340,37740,82075,22400,5200,12825,24740,11/16/2018,
10640,119340,24000,28660,13640,27360,34000,11960,36860,35660,118160,36760,2460,12000,126667,12660,12125,93333,11800,3680,61667,16233,42800,44575,89150,10500,11660,145000,2300,22740,36860,10340,37940,81450,22800,5200,12825,24940,11/19/2018,
10640,121340,26500,29260,13740,28760,31600,12060,34460,35860,118660,35760,2460,12000,126667,12610,12125,100000,10400,3780,67500,16233,42800,44575,89150,10100,11560,143333,2150,23140,37060,10440,38940,81450,23200,5200,12825,25240,11/21/2018,
10590,122660,26500,29500,13640,29460,32700,12110,35360,36160,118500,35760,2460,12100,126667,12500,12250,100000,10400,3780,68333,16000,42800,44500,90000,10260,11560,143333,2250,23340,35860,10740,37660,81450,22900,5200,12763,25200,11/22/2018,
10540,116660,26500,29600,13340,29260,30200,11760,33860,37160,119000,35760,2460,12100,126667,12650,12125,93333,10200,3780,62500,16000,42800,44500,90000,10160,11560,143333,2200,23340,35060,10640,37660,83950,22600,5400,12388,24600,11/23/2018,
10590,118660,26500,29600,13440,29060,30200,12010,33860,36660,119000,34260,2460,12100,126667,12650,12250,93333,10700,3780,63333,16000,42800,44500,90000,10160,11560,143333,2200,23340,35660,10740,37660,83950,22700,5400,12513,25000,11/26/2018,
10540,118660,28000,29600,13340,28660,30200,11860,32860,34660,119000,32760,2460,12100,126667,12600,12250,90000,10400,3780,60000,16000,42800,44500,90000,10160,11560,143333,2200,23040,35660,10640,37660,83950,22600,5200,12575,24800,11/27/2018,
10690,120660,28000,32600,13540,30960,32200,12010,34860,37660,121000,35760,2460,12100,133333,12800,13125,100000,10500,3780,62500,16000,42800,44500,90000,10160,11560,150000,2250,23240,36260,10740,38660,88950,22600,5200,12950,25400,11/28/2018,
10640,125660,26500,28600,13640,30060,34300,12060,34360,37160,119000,34760,2460,12100,126667,12550,12125,100000,10500,3780,71667,16000,42800,44500,90000,10260,11560,143333,2200,23340,38260,10540,40660,82075,23000,5200,12825,25500,11/29/2018,
10590,120660,28000,30100,13240,30060,34200,11760,34860,37660,119000,35260,2460,12100,126667,12650,12250,93333,10900,3780,63333,16000,42800,44500,90000,10160,11560,143333,2180,23440,37560,10840,39660,84575,22100,5200,12638,24900,11/30/2018,
10790,120660,25500,29100,13640,30160,35500,12060,35360,36660,118000,35760,2460,12100,126666.6667,12900,13750,106666.6667,10400,3600,65833.33333,16000,42800,44500,90000,10160,12160,146666.6667,2300,23940,38060,10740,39160,93325,23900,5200,13137.5,25900,12/3/2018,
10590,121660,27500,28100,13340,32360,32500,11660,34360,37160,122500,33760,2460,12100,120000,12600,12125,90000,10400,3200,65000,16000,42800,44500,90000,10260,11560,143333.3333,2200,23940,37560,10040,40160,88325,23000,5400,13012.5,25300,12/4/2018,
10500,115800,26500,27960,13300,31400,29960,11760,32900,32260,123160,32360,2440,11850,120000,12810,13075,106666.6667,10200,3120,64166.66667,15400,42675,44750,85000,9820,12060,146666.6667,2300,24600,37460,9660,40840,90825,22400,5460,13125,26000,12/5/2018,
10450,115800,26500,27260,13300,31400,30460,11810,32300,32660,123660,32660,2440,11850,120000,12860,13075,106666.6667,10100,3120,66666.66667,15400,42675,44750,85000,9820,12060,146666.6667,2300,24600,37060,9760,40840,90825,22400,5460,13062.5,26100,12/6/2018,
10500,114500,25500,28960,13400,30200,29260,11660,30800,33160,123660,31660,2440,11850,120000,12760,12575,106666.6667,10200,3520,71666.66667,15400,42675,44750,85000,9820,12060,146666.6667,2390,25400,36860,9660,40840,90825,22100,5460,12625,26400,12/7/2018,
10500,116800,25500,28860,13400,30500,29960,11860,32300,33660,123660,33160,2440,11850,121666.6667,12760,13200,108333.3333,10500,3920,73333.33333,15400,42675,44750,85000,9820,12060,148333.3333,2340,25400,37460,9760,41340,89575,22400,5460,12625,26100,12/10/2018,
10350,119800,26500,28460,13500,30600,30260,11860,30800,35660,123660,31660,2440,11850,120000,12460,12200,100000,10700,3700,70000,15400,42675,44750,85000,9920,11460,143333.3333,2340,25500,37660,9760,41840,78325,22000,5460,12250,25700,12/11/2018,
10590,120740,26500,29740,13460,31060,30840,11950,31660,36340,123660,32540,2440,11900,120000,12490,12200,100000,10860,3780,73333.33333,15433.33333,42500,44575,84150,9960,11500,143333.3333,2370,25460,37560,9960,40840,80000,22040,5300,12375,25660,12/12/2018,
10540,119740,26500,29340,13460,31360,31840,11950,33660,38840,123660,34040,2440,11900,121666.6667,12540,12450,103333.3333,10860,3780,80000,15433.33333,42500,44575,84150,9960,11500,146666.6667,2370,25260,37360,9960,41340,84375,21940,5300,12375,25660,12/13/2018,
10590,113740,29000,27840,13060,31960,31740,11600,33160,40840,123660,32540,2440,11900,120000,12890,12075,93333.33333,10360,3780,66666.66667,15433.33333,42500,44575,84150,9860,11500,143333.3333,2220,26060,37760,9760,39840,83750,21340,5300,12375,25360,12/14/2018,
10550,114360,28000,28040,13060,30940,32960,11760,33160,43340,123660,33560,2460,12250,120000,12910,12075,91666.66667,10600,3780,60000,15900,42425,44450,85850,9820,11460,143333.3333,2190,26200,37640,9700,39600,83925,21160,5340,12437.5,25040,12/17/2018,
13262.5,110260,26500,28040,13340,30600,32240,11560,34240,41840,123340,34260,2460,12250,120000,12510,12075,93333.33333,10600,3620,63333.33333,16400,42325,44375,87500,9820,11460,143333.3333,2240,26660,39060,9500,38800,83750,21760,5340,12437.5,22560,12/18/2018,
13387.5,110260,26500,28740,13140,31000,31740,11560,37240,42840,123340,34460,2460,12250,120000,12460,12075,93333.33333,10500,3620,60000,16400,42325,44375,87500,9820,11460,143333.3333,2190,26660,39060,9700,38300,83750,21560,5340,12500,22760,12/19/2018,
13250,110600,26500,28160,13140,30460,28440,11560,37100,42200,123340,33160,2460,12100,120000,12360,12075,93333.33333,10500,3620,64166.66667,16400,42325,44375,86650,9820,11460,143333.3333,2340,26600,39060,9740,38800,83750,21300,5340,12500,22760,12/20/2018,
13187.5,109600,26500,28160,13340,30260,27240,11260,37600,42200,123340,33660,2460,12100,120000,12360,11825,93333.33333,10600,3620,63333.33333,16400,42325,44375,86650,9820,11510,143333.3333,2340,26500,38860,9740,37800,86250,21100,5340,12437.5,26300,12/21/2018,
13187.5,114600,26500,27860,13240,30960,27440,11560,43900,43700,122840,34060,2460,12100,121666.6667,12560,12200,95000,10900,3820,66666.66667,16400,42325,44375,86650,9820,11460,145000,2320,26600,39060,9740,39300,83750,21400,5340,12375,25600,12/26/2018,
13250,109800,25500,27260,13560,30740,28440,11600,49440,40560,123660,32800,2460,12100,120000,13060,12825,105000,10000,3600,65000,16400,42450,44375,85850,9960,12100,146666.6667,2340,26740,40200,9700,38800,95000,21900,5340,12700,25200,12/27/2018,
13375,111800,25500,27260,13560,31440,28440,11700,48340,40060,123660,33300,2460,12100,120000,12910,12950,106666.6667,10300,3800,70000,16400,42450,44375,85850,9960,12100,146666.6667,2340,26740,39200,9800,38800,95000,21800,5340,12825,25500,12/28/2018,
13375,111800,25500,27260,13560,31440,28440,11700,48340,40560,123660,32800,2460,12100,120000,12910,12950,105000,10300,3800,70000,16400,42450,44375,85850,9960,12100,146666.6667,2340,26740,39200,9800,38800,95000,21800,5340,12825,25500,12/31/2018,
