TANGGAL,KOMODITI,SATUAN,HARGA
28/06/2018,Daging Sapi  Impor  Beku,Kg,85000
29/06/2018,Daging Sapi  Impor  Beku,Kg,85000
43196,Daging Sapi  Lokal  Has Dalam,Kg,146667
43226,Daging Sapi  Lokal  Has Dalam,Kg,151667
43257,Daging Sapi  Lokal  Has Dalam,Kg,150000
43287,Daging Sapi  Lokal  Has Dalam,Kg,140000
43318,Daging Sapi  Lokal  Has Dalam,Kg,150000
21/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,153333
22/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,153333
25/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,150000
26/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,150000
28/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,151667
29/06/2018,Daging Sapi  Lokal  Has Dalam,Kg,148333
43196,Ayam Boiler,ekor,36640
43226,Ayam Boiler,ekor,38140
43257,Ayam Boiler,ekor,38740
43287,Ayam Boiler,ekor,35640
43318,Ayam Boiler,ekor,35540
21/06/2018,Ayam Boiler,ekor,37540
22/06/2018,Ayam Boiler,ekor,34540
25/06/2018,Ayam Boiler,ekor,37140
26/06/2018,Ayam Boiler,ekor,37140
28/06/2018,Ayam Boiler,ekor,33940
29/06/2018,Ayam Boiler,ekor,35940
43196,Ayam Kampung,ekor,82075
43226,Ayam Kampung,ekor,82767
43257,Ayam Kampung,ekor,90825
43287,Ayam Kampung,ekor,80825
43318,Ayam Kampung,ekor,82075
21/06/2018,Ayam Kampung,ekor,85825
22/06/2018,Ayam Kampung,ekor,84433
25/06/2018,Ayam Kampung,ekor,94433
26/06/2018,Ayam Kampung,ekor,94433
28/06/2018,Ayam Kampung,ekor,87075
29/06/2018,Ayam Kampung,ekor,87767
43196,Telur Ayam Ras,Kg,24560
43226,Telur Ayam Ras,Kg,24660
43257,Telur Ayam Ras,Kg,24460
43287,Telur Ayam Ras,Kg,24260
43318,Telur Ayam Ras,Kg,24060
21/06/2018,Telur Ayam Ras,Kg,24560
22/06/2018,Telur Ayam Ras,Kg,24960
25/06/2018,Telur Ayam Ras,Kg,24360
26/06/2018,Telur Ayam Ras,Kg,24210
28/06/2018,Telur Ayam Ras,Kg,24160
29/06/2018,Telur Ayam Ras,Kg,24860
43196,Telur Ayam Kampung,butir,2280
43226,Telur Ayam Kampung,butir,2190
43257,Telur Ayam Kampung,butir,2190
43287,Telur Ayam Kampung,butir,2300
43318,Telur Ayam Kampung,butir,2290
21/06/2018,Telur Ayam Kampung,butir,2250
22/06/2018,Telur Ayam Kampung,butir,2340
25/06/2018,Telur Ayam Kampung,butir,2240
26/06/2018,Telur Ayam Kampung,butir,2190
28/06/2018,Telur Ayam Kampung,butir,2290
29/06/2018,Telur Ayam Kampung,butir,2240
