KOMODITI,SATUAN,HARGA,TAHUN
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,117500,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,123333,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,118333,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,121667,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,121667,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,121667,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,118333,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,117500,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,123333,2018
Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,95000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,95000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,95000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,95000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,87667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,101667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,91667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,91667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,90000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,96667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,89333,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,101667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,101667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,100000,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,96667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,95833,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,81667,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,93333,2018
Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,85000,2018
Daging Sapi Lokal Daging Tetelan,Kg,71667,2018
Daging Sapi Lokal Daging Tetelan,Kg,75000,2018
Daging Sapi Lokal Daging Tetelan,Kg,75000,2018
Daging Sapi Lokal Daging Tetelan,Kg,76667,2018
Daging Sapi Lokal Daging Tetelan,Kg,67667,2018
Daging Sapi Lokal Daging Tetelan,Kg,73333,2018
Daging Sapi Lokal Daging Tetelan,Kg,63333,2018
Daging Sapi Lokal Daging Tetelan,Kg,60000,2018
Daging Sapi Lokal Daging Tetelan,Kg,77500,2018
Daging Sapi Lokal Daging Tetelan,Kg,65000,2018
Daging Sapi Lokal Daging Tetelan,Kg,76000,2018
Daging Sapi Lokal Daging Tetelan,Kg,66667,2018
Daging Sapi Lokal Daging Tetelan,Kg,70000,2018
Daging Sapi Lokal Daging Tetelan,Kg,70000,2018
Daging Sapi Lokal Daging Tetelan,Kg,71667,2018
Daging Sapi Lokal Daging Tetelan,Kg,63333,2018
Daging Sapi Lokal Daging Tetelan,Kg,56667,2018
Daging Sapi Lokal Daging Tetelan,Kg,73333,2018
Daging Sapi Lokal Daging Tetelan,Kg,63333,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,90000,2018
Daging Sapi Impor Beku,Kg,88350,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,75000,2018
Daging Sapi Impor Beku,Kg,88350,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,89150,2018
Daging Sapi Impor Beku,Kg,109150,2018
Daging Sapi Impor Beku,Kg,107500,2018
Daging Sapi Impor Beku,Kg,87500,2018
Daging Sapi Impor Beku,Kg,83350,2018
Daging Sapi Impor Beku,Kg,75750,2018
Daging Sapi Impor Beku,Kg,73250,2018
Daging Sapi Impor Beku,Kg,90000,2018
Daging Sapi Lokal Has Dalam,Kg,145833,2018
Daging Sapi Lokal Has Dalam,Kg,142500,2018
Daging Sapi Lokal Has Dalam,Kg,142500,2018
Daging Sapi Lokal Has Dalam,Kg,145000,2018
Daging Sapi Lokal Has Dalam,Kg,145000,2018
Daging Sapi Lokal Has Dalam,Kg,145000,2018
Daging Sapi Lokal Has Dalam,Kg,143333,2018
Daging Sapi Lokal Has Dalam,Kg,148333,2018
Daging Sapi Lokal Has Dalam,Kg,145000,2018
Daging Sapi Lokal Has Dalam,Kg,145833,2018
Daging Sapi Lokal Has Dalam,Kg,143333,2018
Daging Sapi Lokal Has Dalam,Kg,148333,2018
Daging Sapi Lokal Has Dalam,Kg,145000,2018
Daging Sapi Lokal Has Dalam,Kg,144167,2018
Daging Sapi Lokal Has Dalam,Kg,146667,2018
Daging Sapi Lokal Has Dalam,Kg,146667,2018
Daging Sapi Lokal Has Dalam,Kg,145500,2018
Daging Sapi Lokal Has Dalam,Kg,146667,2018
Daging Sapi Lokal Has Dalam,Kg,151667,2018
Ayam Boiler,ekor,36900,2018
Ayam Boiler,ekor,36900,2018
Ayam Boiler,ekor,36840,2018
Ayam Boiler,ekor,36040,2018
Ayam Boiler,ekor,37900,2018
Ayam Boiler,ekor,35140,2018
Ayam Boiler,ekor,35900,2018
Ayam Boiler,ekor,37200,2018
Ayam Boiler,ekor,36460,2018
Ayam Boiler,ekor,37060,2018
Ayam Boiler,ekor,37460,2018
Ayam Boiler,ekor,38460,2018
Ayam Boiler,ekor,34260,2018
Ayam Boiler,ekor,34960,2018
Ayam Boiler,ekor,35060,2018
Ayam Boiler,ekor,34260,2018
Ayam Boiler,ekor,33760,2018
Ayam Boiler,ekor,34560,2018
Ayam Boiler,ekor,33560,2018
Ayam Kampung,ekor,81100,2018
Ayam Kampung,ekor,82767,2018
Ayam Kampung,ekor,82767,2018
Ayam Kampung,ekor,81100,2018
Ayam Kampung,ekor,82300,2018
Ayam Kampung,ekor,84175,2018
Ayam Kampung,ekor,84433,2018
Ayam Kampung,ekor,82500,2018
Ayam Kampung,ekor,78325,2018
Ayam Kampung,ekor,82075,2018
Ayam Kampung,ekor,84433,2018
Ayam Kampung,ekor,84433,2018
Ayam Kampung,ekor,82767,2018
Ayam Kampung,ekor,77075,2018
Ayam Kampung,ekor,75825,2018
Ayam Kampung,ekor,83667,2018
Ayam Kampung,ekor,81450,2018
Ayam Kampung,ekor,84433,2018
Ayam Kampung,ekor,83950,2018
Telur Ayam Ras,Kg,23050,2018
Telur Ayam Ras,Kg,23050,2018
Telur Ayam Ras,Kg,22550,2018
Telur Ayam Ras,Kg,22640,2018
Telur Ayam Ras,Kg,22500,2018
Telur Ayam Ras,Kg,22800,2018
Telur Ayam Ras,Kg,22340,2018
Telur Ayam Ras,Kg,22760,2018
Telur Ayam Ras,Kg,22500,2018
Telur Ayam Ras,Kg,23400,2018
Telur Ayam Ras,Kg,23340,2018
Telur Ayam Ras,Kg,23440,2018
Telur Ayam Ras,Kg,23040,2018
Telur Ayam Ras,Kg,22900,2018
Telur Ayam Ras,Kg,23100,2018
Telur Ayam Ras,Kg,23000,2018
Telur Ayam Ras,Kg,23000,2018
Telur Ayam Ras,Kg,22900,2018
Telur Ayam Ras,Kg,22960,2018
Telur Ayam Kampung,butir,2150,2018
Telur Ayam Kampung,butir,2150,2018
Telur Ayam Kampung,butir,2170,2018
Telur Ayam Kampung,butir,2210,2018
Telur Ayam Kampung,butir,2260,2018
Telur Ayam Kampung,butir,2360,2018
Telur Ayam Kampung,butir,2200,2018
Telur Ayam Kampung,butir,2200,2018
Telur Ayam Kampung,butir,2250,2018
Telur Ayam Kampung,butir,2250,2018
Telur Ayam Kampung,butir,2240,2018
Telur Ayam Kampung,butir,2210,2018
Telur Ayam Kampung,butir,2190,2018
Telur Ayam Kampung,butir,2310,2018
Telur Ayam Kampung,butir,2370,2018
Telur Ayam Kampung,butir,2400,2018
Telur Ayam Kampung,butir,2400,2018
Telur Ayam Kampung,butir,2320,2018
Telur Ayam Kampung,butir,2430,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11800,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11800,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11760,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11760,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11900,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12000,2018
Susu Kental Manis Kaleng Merk Bendera,buah,11810,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12460,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12460,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12460,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12100,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12500,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12500,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12110,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12660,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12040,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12660,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12660,2018
Susu Kental Manis Kaleng Merk Bendera,buah,12900,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10060,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10060,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,9960,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10340,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10060,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10060,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10140,2018
Susu Kental Manis Kaleng Merk Indomilk,buah,10200,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44233,2018
Susu Bubuk Kaleng Merk Bendera,buah,44100,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44000,2018
Susu Bubuk Kaleng Merk Bendera,buah,44233,2018
Susu Bubuk Kaleng Merk Bendera,buah,44100,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44333,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44100,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Bendera,buah,44567,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42267,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42567,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,41933,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42267,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42567,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42500,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,41733,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Susu Bubuk Kaleng Merk Indomilk,buah,42833,2018
Jagung Pipilan Kecil,Kg,16100,2018
Jagung Pipilan Kecil,Kg,16100,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15767,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15767,2018
Jagung Pipilan Kecil,Kg,15767,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15767,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Jagung Pipilan Kecil,Kg,15900,2018
Garam Beryodium Bata,250 gr,3580,2018
Garam Beryodium Bata,250 gr,3580,2018
Garam Beryodium Bata,250 gr,4000,2018
Garam Beryodium Bata,250 gr,3620,2018
Garam Beryodium Bata,250 gr,3900,2018
Garam Beryodium Bata,250 gr,3680,2018
Garam Beryodium Bata,250 gr,4420,2018
Garam Beryodium Bata,250 gr,3620,2018
Garam Beryodium Bata,250 gr,4260,2018
Garam Beryodium Bata,250 gr,4360,2018
Garam Beryodium Bata,250 gr,3740,2018
Garam Beryodium Bata,250 gr,3680,2018
Garam Beryodium Bata,250 gr,3780,2018
Garam Beryodium Bata,250 gr,3865,2018
Garam Beryodium Bata,250 gr,4260,2018
Garam Beryodium Bata,250 gr,3860,2018
Garam Beryodium Bata,250 gr,4060,2018
Garam Beryodium Bata,250 gr,3960,2018
Garam Beryodium Bata,250 gr,4300,2018
Garam Beryodium Halus,Kg,10060,2018
Garam Beryodium Halus,Kg,10060,2018
Garam Beryodium Halus,Kg,9940,2018
Garam Beryodium Halus,Kg,9240,2018
Garam Beryodium Halus,Kg,12860,2018
Garam Beryodium Halus,Kg,11300,2018
Garam Beryodium Halus,Kg,9940,2018
Garam Beryodium Halus,Kg,10640,2018
Garam Beryodium Halus,Kg,10500,2018
Garam Beryodium Halus,Kg,10400,2018
Garam Beryodium Halus,Kg,10260,2018
Garam Beryodium Halus,Kg,11260,2018
Garam Beryodium Halus,Kg,11860,2018
Garam Beryodium Halus,Kg,10650,2018
Garam Beryodium Halus,Kg,10900,2018
Garam Beryodium Halus,Kg,9460,2018
Garam Beryodium Halus,Kg,13100,2018
Garam Beryodium Halus,Kg,10300,2018
Garam Beryodium Halus,Kg,11940,2018
Tepung Terigu Segitiga Biru,Kg,9860,2018
Tepung Terigu Segitiga Biru,Kg,9860,2018
Tepung Terigu Segitiga Biru,Kg,9740,2018
Tepung Terigu Segitiga Biru,Kg,9960,2018
Tepung Terigu Segitiga Biru,Kg,10060,2018
Tepung Terigu Segitiga Biru,Kg,10350,2018
Tepung Terigu Segitiga Biru,Kg,9940,2018
Tepung Terigu Segitiga Biru,Kg,9760,2018
Tepung Terigu Segitiga Biru,Kg,9500,2018
Tepung Terigu Segitiga Biru,Kg,9800,2018
Tepung Terigu Segitiga Biru,Kg,10100,2018
Tepung Terigu Segitiga Biru,Kg,9800,2018
Tepung Terigu Segitiga Biru,Kg,9800,2018
Tepung Terigu Segitiga Biru,Kg,10080,2018
Tepung Terigu Segitiga Biru,Kg,9940,2018
Tepung Terigu Segitiga Biru,Kg,9860,2018
Tepung Terigu Segitiga Biru,Kg,9940,2018
Tepung Terigu Segitiga Biru,Kg,9940,2018
Tepung Terigu Segitiga Biru,Kg,10200,2018
Kacang Kedelai Eks Impor,Kg,12000,2018
Kacang Kedelai Eks Impor,Kg,12000,2018
Kacang Kedelai Eks Impor,Kg,11925,2018
Kacang Kedelai Eks Impor,Kg,12175,2018
Kacang Kedelai Eks Impor,Kg,12250,2018
Kacang Kedelai Eks Impor,Kg,13000,2018
Kacang Kedelai Eks Impor,Kg,11925,2018
Kacang Kedelai Eks Impor,Kg,13550,2018
Kacang Kedelai Eks Impor,Kg,12300,2018
Kacang Kedelai Eks Impor,Kg,11925,2018
Kacang Kedelai Eks Impor,Kg,12125,2018
Kacang Kedelai Eks Impor,Kg,12250,2018
Kacang Kedelai Eks Impor,Kg,12250,2018
Kacang Kedelai Eks Impor,Kg,11488,2018
Kacang Kedelai Eks Impor,Kg,12175,2018
Kacang Kedelai Eks Impor,Kg,11675,2018
Kacang Kedelai Eks Impor,Kg,12175,2018
Kacang Kedelai Eks Impor,Kg,12175,2018
Kacang Kedelai Eks Impor,Kg,13250,2018
Kacang Kedelai Lokal,Kg,10767,2018
Kacang Kedelai Lokal,Kg,10767,2018
Kacang Kedelai Lokal,Kg,10767,2018
Kacang Kedelai Lokal,Kg,11233,2018
Kacang Kedelai Lokal,Kg,11000,2018
Kacang Kedelai Lokal,Kg,11233,2018
Kacang Kedelai Lokal,Kg,11233,2018
Kacang Kedelai Lokal,Kg,11567,2018
Kacang Kedelai Lokal,Kg,11233,2018
Kacang Kedelai Lokal,Kg,11233,2018
Kacang Kedelai Lokal,Kg,11333,2018
Kacang Kedelai Lokal,Kg,11333,2018
Kacang Kedelai Lokal,Kg,11000,2018
Kacang Kedelai Lokal,Kg,10900,2018
Kacang Kedelai Lokal,Kg,10900,2018
Kacang Kedelai Lokal,Kg,10433,2018
Kacang Kedelai Lokal,Kg,10900,2018
Kacang Kedelai Lokal,Kg,10900,2018
Kacang Kedelai Lokal,Kg,11000,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2400,2018
Indomie Rasa Kari Ayam,buah,2400,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2400,2018
Indomie Rasa Kari Ayam,buah,2400,2018
Indomie Rasa Kari Ayam,buah,2400,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2380,2018
Indomie Rasa Kari Ayam,buah,2360,2018
Indomie Rasa Kari Ayam,buah,2360,2018
Indomie Rasa Kari Ayam,buah,2280,2018
Indomie Rasa Kari Ayam,buah,2360,2018
Indomie Rasa Kari Ayam,buah,2360,2018
Indomie Rasa Kari Ayam,buah,2340,2018
Cabai Merah Keriting,Kg,43000,2018
Cabai Merah Keriting,Kg,43000,2018
Cabai Merah Keriting,Kg,42060,2018
Cabai Merah Keriting,Kg,41860,2018
Cabai Merah Keriting,Kg,43000,2018
Cabai Merah Keriting,Kg,44660,2018
Cabai Merah Keriting,Kg,44300,2018
Cabai Merah Keriting,Kg,41360,2018
Cabai Merah Keriting,Kg,45600,2018
Cabai Merah Keriting,Kg,45300,2018
Cabai Merah Keriting,Kg,47700,2018
Cabai Merah Keriting,Kg,44700,2018
Cabai Merah Keriting,Kg,41700,2018
Cabai Merah Keriting,Kg,45500,2018
Cabai Merah Keriting,Kg,44000,2018
Cabai Merah Keriting,Kg,43040,2018
Cabai Merah Keriting,Kg,45460,2018
Cabai Merah Keriting,Kg,45860,2018
Cabai Merah Keriting,Kg,48500,2018
Cabai Merah Besar,Kg,47500,2018
Cabai Merah Besar,Kg,47500,2018
Cabai Merah Besar,Kg,45500,2018
Cabai Merah Besar,Kg,44840,2018
Cabai Merah Besar,Kg,47000,2018
Cabai Merah Besar,Kg,51340,2018
Cabai Merah Besar,Kg,51340,2018
Cabai Merah Besar,Kg,46400,2018
Cabai Merah Besar,Kg,47000,2018
Cabai Merah Besar,Kg,50000,2018
Cabai Merah Besar,Kg,53200,2018
Cabai Merah Besar,Kg,49700,2018
Cabai Merah Besar,Kg,54700,2018
Cabai Merah Besar,Kg,54000,2018
Cabai Merah Besar,Kg,49000,2018
Cabai Merah Besar,Kg,49000,2018
Cabai Merah Besar,Kg,53760,2018
Cabai Merah Besar,Kg,54260,2018
Cabai Merah Besar,Kg,53540,2018
Cabai Rawit Merah,Kg,46160,2018
Cabai Rawit Merah,Kg,46160,2018
Cabai Rawit Merah,Kg,46500,2018
Cabai Rawit Merah,Kg,44300,2018
Cabai Rawit Merah,Kg,45260,2018
Cabai Rawit Merah,Kg,46740,2018
Cabai Rawit Merah,Kg,46460,2018
Cabai Rawit Merah,Kg,46940,2018
Cabai Rawit Merah,Kg,48060,2018
Cabai Rawit Merah,Kg,52560,2018
Cabai Rawit Merah,Kg,51940,2018
Cabai Rawit Merah,Kg,53940,2018
Cabai Rawit Merah,Kg,56940,2018
Cabai Rawit Merah,Kg,57660,2018
Cabai Rawit Merah,Kg,59060,2018
Cabai Rawit Merah,Kg,59840,2018
Cabai Rawit Merah,Kg,58800,2018
Cabai Rawit Merah,Kg,58800,2018
Cabai Rawit Merah,Kg,59500,2018
Cabai Rawit Hijau,Kg,46400,2018
Cabai Rawit Hijau,Kg,46800,2018
Cabai Rawit Hijau,Kg,44340,2018
Cabai Rawit Hijau,Kg,42640,2018
Cabai Rawit Hijau,Kg,41300,2018
