TANGGAL,KOMODITI,SATUAN,HARGA,,,,,
17/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,120000,,,,,
17/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,90000,,,,,
17/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,90000,,,,,
17/01/2018,Daging Sapi  Impor  Beku,Kg,120000,,,,,
17/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,146667,,,,,
17/01/2018,Ayam Boiler,ekor,37540,,,,,
17/01/2018,Ayam Kampung,ekor,79675,,,,,
17/01/2018,Telur Ayam Ras,Kg,24900,,,,,
17/01/2018,Telur Ayam Kampung,butir,2020,,,,,
17/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12760,,,,,
17/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10700,,,,,
17/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44100,,,,,
17/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42433,,,,,
17/01/2018,Jagung Pipilan Kecil,Kg,15100,,,,,
17/01/2018,Garam Beryodium Bata,250 gr,3420,,,,,
17/01/2018,Garam Beryodium Halus,Kg,11100,,,,,
17/01/2018,Tepung Terigu Segitiga Biru,Kg,9440,,,,,
17/01/2018,Kacang Kedelai Eks impor,Kg,11675,,,,,
17/01/2018,Kacang Kedelai Lokal,Kg,4000,,,,,
17/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
17/01/2018,Cabe Merah Keriting,Kg,42860,,,,,
17/01/2018,Cabe Merah Besar,Kg,40860,,,,,
17/01/2018,Cabe Rawit Merah,Kg,53260,,,,,
17/01/2018,Cabe Rawit Hijau,Kg,42200,,,,,
17/01/2018,Bawang Merah (Medium),Kg,24140,,,,,
17/01/2018,Bawang Putih Impor (Kating),Kg,27340,,,,,
17/01/2018,Bawang Putih Impor (Honan),Kg,22500,,,,,
17/01/2018,Ikan Teri Asin,Kg,103940,,,,,
17/01/2018,Ikan Kembung,Kg,35660,,,,,
17/01/2018,Kacang Hijau,Kg,21740,,,,,
17/01/2018,Kacang Tanah,Kg,24700,,,,,
17/01/2018,Ketela Pohon,Kg,4800,,,,,
18/01/2018,Beras,Kg,10663,,,,,
18/01/2018,Gula Pasir,Kg,13540,,,,,
18/01/2018,Minyak Goreng Bimoli Botol,Liter,13560,,,,,
18/01/2018,Minyak Goreng Curah,Liter,12613,,,,,
18/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660,,,,,
18/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,121667,,,,,
18/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,93333,,,,,
18/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,83333,,,,,
18/01/2018,Daging Sapi  Impor  Beku,Kg,70000,,,,,
18/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,131667,,,,,
18/01/2018,Ayam Boiler,ekor,37240,,,,,
18/01/2018,Ayam Kampung,ekor,74250,,,,,
18/01/2018,Telur Ayam Ras,Kg,24000,,,,,
18/01/2018,Telur Ayam Kampung,butir,2100,,,,,
18/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11790,,,,,
18/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140,,,,,
18/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
18/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42433,,,,,
18/01/2018,Jagung Pipilan Kecil,Kg,15500,,,,,
18/01/2018,Garam Beryodium Bata,250 gr,3510,,,,,
18/01/2018,Garam Beryodium Halus,Kg,11960,,,,,
18/01/2018,Tepung Terigu Segitiga Biru,Kg,10240,,,,,
18/01/2018,Kacang Kedelai Eks impor,Kg,12550,,,,,
18/01/2018,Kacang Kedelai Lokal,Kg,11000,,,,,
18/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2400,,,,,
18/01/2018,Cabe Merah Keriting,Kg,48200,,,,,
18/01/2018,Cabe Merah Besar,Kg,46040,,,,,
18/01/2018,Cabe Rawit Merah,Kg,53760,,,,,
18/01/2018,Cabe Rawit Hijau,Kg,42760,,,,,
18/01/2018,Bawang Merah (Medium),Kg,25940,,,,,
18/01/2018,Bawang Putih Impor (Kating),Kg,28200,,,,,
18/01/2018,Bawang Putih Impor (Honan),Kg,22500,,,,,
18/01/2018,Ikan Teri Asin,Kg,108040,,,,,
18/01/2018,Ikan Kembung,Kg,38860,,,,,
18/01/2018,Kacang Hijau,Kg,23040,,,,,
18/01/2018,Kacang Tanah,Kg,24700,,,,,
18/01/2018,Ketela Pohon,Kg,4800,,,,,
19/01/2018,Beras,Kg,10925,,,,,
19/01/2018,Gula Pasir,Kg,13660,,,,,
19/01/2018,Minyak Goreng Bimoli Botol,Liter,13410,,,,,
19/01/2018,Minyak Goreng Curah,Liter,12300,,,,,
19/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,117660,,,,,
19/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,116667,,,,,
19/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,91667,,,,,
19/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,70000,,,,,
19/01/2018,Daging Sapi  Impor  Beku,Kg,70000,,,,,
19/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,148333,,,,,
19/01/2018,Ayam Boiler,ekor,38140,,,,,
19/01/2018,Ayam Kampung,ekor,80667,,,,,
19/01/2018,Telur Ayam Ras,Kg,23960,,,,,
19/01/2018,Telur Ayam Kampung,butir,2090,,,,,
19/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12460,,,,,
19/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140,,,,,
19/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44100,,,,,
19/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42567,,,,,
19/01/2018,Jagung Pipilan Kecil,Kg,15500,,,,,
19/01/2018,Garam Beryodium Bata,250 gr,3360,,,,,
19/01/2018,Garam Beryodium Halus,Kg,10600,,,,,
19/01/2018,Tepung Terigu Segitiga Biru,Kg,9800,,,,,
19/01/2018,Kacang Kedelai Eks impor,Kg,12050,,,,,
19/01/2018,Kacang Kedelai Lokal,Kg,11500,,,,,
19/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
19/01/2018,Cabe Merah Keriting,Kg,42000,,,,,
19/01/2018,Cabe Merah Besar,Kg,45540,,,,,
19/01/2018,Cabe Rawit Merah,Kg,54800,,,,,
19/01/2018,Cabe Rawit Hijau,Kg,43440,,,,,
19/01/2018,Bawang Merah (Medium),Kg,26360,,,,,
19/01/2018,Bawang Putih Impor (Kating),Kg,28600,,,,,
19/01/2018,Bawang Putih Impor (Honan),Kg,27500,,,,,
19/01/2018,Ikan Teri Asin,Kg,108800,,,,,
19/01/2018,Ikan Kembung,Kg,36660,,,,,
19/01/2018,Kacang Hijau,Kg,21800,,,,,
19/01/2018,Kacang Tanah,Kg,24700,,,,,
19/01/2018,Ketela Pohon,Kg,4740,,,,,
22/01/2018,Beras,Kg,11038,,,,,
22/01/2018,Gula Pasir,Kg,13750,,,,,
22/01/2018,Minyak Goreng Bimoli Botol,Liter,13500,,,,,
22/01/2018,Minyak Goreng Curah,Liter,12875,,,,,
22/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660,,,,,
22/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,120000,,,,,
22/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,96667,,,,,
22/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,66667,,,,,
22/01/2018,Daging Sapi  Impor  Beku,Kg,85000,,,,,
22/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,150000,,,,,
22/01/2018,Ayam Boiler,ekor,37940,,,,,
22/01/2018,Ayam Kampung,ekor,80075,,,,,
22/01/2018,Telur Ayam Ras,Kg,23800,,,,,
22/01/2018,Telur Ayam Kampung,butir,2060,,,,,
22/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11940,,,,,
22/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10340,,,,,
22/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44100,,,,,
22/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42567,,,,,
22/01/2018,Jagung Pipilan Kecil,Kg,15333,,,,,
22/01/2018,Garam Beryodium Bata,250 gr,3760,,,,,
22/01/2018,Garam Beryodium Halus,Kg,13260,,,,,
22/01/2018,Tepung Terigu Segitiga Biru,Kg,10140,,,,,
22/01/2018,Kacang Kedelai Eks impor,Kg,13175,,,,,
22/01/2018,Kacang Kedelai Lokal,Kg,12000,,,,,
22/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
22/01/2018,Cabe Merah Keriting,Kg,45840,,,,,
22/01/2018,Cabe Merah Besar,Kg,46000,,,,,
22/01/2018,Cabe Rawit Merah,Kg,51160,,,,,
22/01/2018,Cabe Rawit Hijau,Kg,41600,,,,,
22/01/2018,Bawang Merah (Medium),Kg,26240,,,,,
22/01/2018,Bawang Putih Impor (Kating),Kg,28340,,,,,
22/01/2018,Bawang Putih Impor (Honan),Kg,22500,,,,,
22/01/2018,Ikan Teri Asin,Kg,111000,,,,,
22/01/2018,Ikan Kembung,Kg,38300,,,,,
22/01/2018,Kacang Hijau,Kg,22800,,,,,
22/01/2018,Kacang Tanah,Kg,25560,,,,,
22/01/2018,Ketela Pohon,Kg,4800,,,,,
23/01/2018,Beras,Kg,10975,,,,,
23/01/2018,Gula Pasir,Kg,14000,,,,,
23/01/2018,Minyak Goreng Bimoli Botol,Liter,13500,,,,,
23/01/2018,Minyak Goreng Curah,Liter,12500,,,,,
23/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660,,,,,
23/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,123333,,,,,
23/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,100000,,,,,
23/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,78333,,,,,
23/01/2018,Daging Sapi  Impor  Beku,Kg,85000,,,,,
23/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,145000,,,,,
23/01/2018,Ayam Boiler,ekor,36440,,,,,
23/01/2018,Ayam Kampung,ekor,80075,,,,,
23/01/2018,Telur Ayam Ras,Kg,23800,,,,,
23/01/2018,Telur Ayam Kampung,butir,2110,,,,,
23/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11940,,,,,
23/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10440,,,,,
23/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44100,,,,,
23/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42567,,,,,
23/01/2018,Jagung Pipilan Kecil,Kg,15333,,,,,
23/01/2018,Garam Beryodium Bata,250 gr,4100,,,,,
23/01/2018,Garam Beryodium Halus,Kg,11760,,,,,
23/01/2018,Tepung Terigu Segitiga Biru,Kg,10790,,,,,
23/01/2018,Kacang Kedelai Eks impor,Kg,13800,,,,,
23/01/2018,Kacang Kedelai Lokal,Kg,12000,,,,,
23/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
23/01/2018,Cabe Merah Keriting,Kg,47340,,,,,
23/01/2018,Cabe Merah Besar,Kg,49000,,,,,
23/01/2018,Cabe Rawit Merah,Kg,50660,,,,,
23/01/2018,Cabe Rawit Hijau,Kg,45600,,,,,
23/01/2018,Bawang Merah (Medium),Kg,26240,,,,,
23/01/2018,Bawang Putih Impor (Kating),Kg,30440,,,,,
23/01/2018,Bawang Putih Impor (Honan),Kg,25000,,,,,
23/01/2018,Ikan Teri Asin,Kg,109000,,,,,
23/01/2018,Ikan Kembung,Kg,39000,,,,,
23/01/2018,Kacang Hijau,Kg,22400,,,,,
23/01/2018,Kacang Tanah,Kg,26260,,,,,
23/01/2018,Ketela Pohon,Kg,4800,,,,,
24/01/2018,Beras,Kg,11100,,,,,
24/01/2018,Gula Pasir,Kg,13900,,,,,
24/01/2018,Minyak Goreng Bimoli Botol,Liter,13400,,,,,
24/01/2018,Minyak Goreng Curah,Liter,12500,,,,,
24/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660,,,,,
24/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,120000,,,,,
24/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,105000,,,,,
24/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,63333,,,,,
24/01/2018,Daging Sapi  Impor  Beku,Kg,85000,,,,,
24/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,148333,,,,,
24/01/2018,Ayam Boiler,ekor,37040,,,,,
24/01/2018,Ayam Kampung,ekor,80075,,,,,
24/01/2018,Telur Ayam Ras,Kg,23600,,,,,
24/01/2018,Telur Ayam Kampung,butir,2160,,,,,
24/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11840,,,,,
24/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140,,,,,
24/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44100,,,,,
24/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42567,,,,,
24/01/2018,Jagung Pipilan Kecil,Kg,15333,,,,,
24/01/2018,Garam Beryodium Bata,250 gr,3760,,,,,
24/01/2018,Garam Beryodium Halus,Kg,10760,,,,,
24/01/2018,Tepung Terigu Segitiga Biru,Kg,9940,,,,,
24/01/2018,Kacang Kedelai Eks impor,Kg,12175,,,,,
24/01/2018,Kacang Kedelai Lokal,Kg,12000,,,,,
24/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
24/01/2018,Cabe Merah Keriting,Kg,44140,,,,,
24/01/2018,Cabe Merah Besar,Kg,48000,,,,,
24/01/2018,Cabe Rawit Merah,Kg,48660,,,,,
24/01/2018,Cabe Rawit Hijau,Kg,47100,,,,,
24/01/2018,Bawang Merah (Medium),Kg,23240,,,,,
24/01/2018,Bawang Putih Impor (Kating),Kg,26840,,,,,
24/01/2018,Bawang Putih Impor (Honan),Kg,22500,,,,,
24/01/2018,Ikan Teri Asin,Kg,108000,,,,,
24/01/2018,Ikan Kembung,Kg,37800,,,,,
24/01/2018,Kacang Hijau,Kg,21400,,,,,
24/01/2018,Kacang Tanah,Kg,24860,,,,,
24/01/2018,Ketela Pohon,Kg,4800,,,,,
25/01/2018,Beras,Kg,11113,,,,,
25/01/2018,Gula Pasir,Kg,13590,,,,,
25/01/2018,Minyak Goreng Bimoli Botol,Liter,13610,,,,,
25/01/2018,Minyak Goreng Curah,Liter,12575,,,,,
25/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,117660,,,,,
25/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,118333,,,,,
25/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,87667,,,,,
25/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,72667,,,,,
25/01/2018,Daging Sapi  Impor  Beku,Kg,87500,,,,,
25/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,144167,,,,,
25/01/2018,Ayam Boiler,ekor,37940,,,,,
25/01/2018,Ayam Kampung,ekor,80333,,,,,
25/01/2018,Telur Ayam Ras,Kg,23460,,,,,
25/01/2018,Telur Ayam Kampung,butir,2120,,,,,
25/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11900,,,,,
25/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10160,,,,,
25/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
25/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42433,,,,,
25/01/2018,Jagung Pipilan Kecil,Kg,15433,,,,,
25/01/2018,Garam Beryodium Bata,250 gr,4060,,,,,
25/01/2018,Garam Beryodium Halus,Kg,10860,,,,,
25/01/2018,Tepung Terigu Segitiga Biru,Kg,10190,,,,,
25/01/2018,Kacang Kedelai Eks impor,Kg,12500,,,,,
25/01/2018,Kacang Kedelai Lokal,Kg,10850,,,,,
25/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2400,,,,,
25/01/2018,Cabe Merah Keriting,Kg,44460,,,,,
25/01/2018,Cabe Merah Besar,Kg,46040,,,,,
25/01/2018,Cabe Rawit Merah,Kg,48340,,,,,
25/01/2018,Cabe Rawit Hijau,Kg,47040,,,,,
25/01/2018,Bawang Merah (Medium),Kg,23940,,,,,
25/01/2018,Bawang Putih Impor (Kating),Kg,27560,,,,,
25/01/2018,Bawang Putih Impor (Honan),Kg,24500,,,,,
25/01/2018,Ikan Teri Asin,Kg,110000,,,,,
25/01/2018,Ikan Kembung,Kg,37800,,,,,
25/01/2018,Kacang Hijau,Kg,21800,,,,,
25/01/2018,Kacang Tanah,Kg,24660,,,,,
25/01/2018,Ketela Pohon,Kg,4740,,,,,
26/01/2018,Beras,Kg,10925,,,,,
26/01/2018,Gula Pasir,Kg,13740,,,,,
26/01/2018,Minyak Goreng Bimoli Botol,Liter,13290,,,,,
26/01/2018,Minyak Goreng Curah,Liter,12375,,,,,
26/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119000,,,,,
26/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,116667,,,,,
26/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,91667,,,,,
26/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,65000,,,,,
26/01/2018,Daging Sapi  Impor  Beku,Kg,90000,,,,,
26/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,143333,,,,,
26/01/2018,Ayam Boiler,ekor,37740,,,,,
26/01/2018,Ayam Kampung,ekor,80567,,,,,
26/01/2018,Telur Ayam Ras,Kg,22940,,,,,
26/01/2018,Telur Ayam Kampung,butir,2160,,,,,
26/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11800,,,,,
26/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10200,,,,,
26/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,43767,,,,,
26/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000,,,,,
26/01/2018,Jagung Pipilan Kecil,Kg,16000,,,,,
26/01/2018,Garam Beryodium Bata,250 gr,3320,,,,,
26/01/2018,Garam Beryodium Halus,Kg,11040,,,,,
26/01/2018,Tepung Terigu Segitiga Biru,Kg,9940,,,,,
26/01/2018,Kacang Kedelai Eks impor,Kg,12000,,,,,
26/01/2018,Kacang Kedelai Lokal,Kg,10667,,,,,
26/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
26/01/2018,Cabe Merah Keriting,Kg,41900,,,,,
26/01/2018,Cabe Merah Besar,Kg,46460,,,,,
26/01/2018,Cabe Rawit Merah,Kg,46140,,,,,
26/01/2018,Cabe Rawit Hijau,Kg,47300,,,,,
26/01/2018,Bawang Merah (Medium),Kg,24160,,,,,
26/01/2018,Bawang Putih Impor (Kating),Kg,26340,,,,,
26/01/2018,Bawang Putih Impor (Honan),Kg,22500,,,,,
26/01/2018,Ikan Teri Asin,Kg,107000,,,,,
26/01/2018,Ikan Kembung,Kg,37860,,,,,
26/01/2018,Kacang Hijau,Kg,21540,,,,,
26/01/2018,Kacang Tanah,Kg,23500,,,,,
26/01/2018,Ketela Pohon,Kg,5000,,,,,
29/01/2018,Beras,Kg,10988,,,,,
29/01/2018,Gula Pasir,Kg,13840,,,,,
29/01/2018,Minyak Goreng Bimoli Botol,Liter,13640,,,,,
29/01/2018,Minyak Goreng Curah,Liter,12563,,,,,
29/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,120000,,,,,
29/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,118333,,,,,
29/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,90167,,,,,
29/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,79333,,,,,
29/01/2018,Daging Sapi  Impor  Beku,Kg,90000,,,,,
29/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,143333,,,,,
29/01/2018,Ayam Boiler,ekor,38740,,,,,
29/01/2018,Ayam Kampung,ekor,82925,,,,,
29/01/2018,Telur Ayam Ras,Kg,22840,,,,,
29/01/2018,Telur Ayam Kampung,butir,2130,,,,,
29/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11750,,,,,
29/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10200,,,,,
29/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,43767,,,,,
29/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000,,,,,
29/01/2018,Jagung Pipilan Kecil,Kg,16000,,,,,
29/01/2018,Garam Beryodium Bata,250 gr,3720,,,,,
29/01/2018,Garam Beryodium Halus,Kg,11140,,,,,
29/01/2018,Tepung Terigu Segitiga Biru,Kg,10040,,,,,
29/01/2018,Kacang Kedelai Eks impor,Kg,12625,,,,,
29/01/2018,Kacang Kedelai Lokal,Kg,10667,,,,,
29/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2380,,,,,
29/01/2018,Cabe Merah Keriting,Kg,43500,,,,,
29/01/2018,Cabe Merah Besar,Kg,46660,,,,,
29/01/2018,Cabe Rawit Merah,Kg,47840,,,,,
29/01/2018,Cabe Rawit Hijau,Kg,45000,,,,,
29/01/2018,Bawang Merah (Medium),Kg,23760,,,,,
29/01/2018,Bawang Putih Impor (Kating),Kg,28140,,,,,
29/01/2018,Bawang Putih Impor (Honan),Kg,23500,,,,,
29/01/2018,Ikan Teri Asin,Kg,108000,,,,,
29/01/2018,Ikan Kembung,Kg,38860,,,,,
29/01/2018,Kacang Hijau,Kg,21740,,,,,
29/01/2018,Kacang Tanah,Kg,23800,,,,,
29/01/2018,Ketela Pohon,Kg,5100,,,,,
30/01/2018,Beras,Kg,10988,,,,,
30/01/2018,Gula Pasir,Kg,13940,,,,,
30/01/2018,Minyak Goreng Bimoli Botol,Liter,13560,,,,,
30/01/2018,Minyak Goreng Curah,Liter,12488,,,,,
30/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,120000,,,,,
30/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,118333,,,,,
30/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,90167,,,,,
30/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,79333,,,,,
30/01/2018,Daging Sapi  Impor  Beku,Kg,89150,,,,,
30/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,143333,,,,,
30/01/2018,Ayam Boiler,ekor,38540,,,,,
30/01/2018,Ayam Kampung,ekor,82925,,,,,
30/01/2018,Telur Ayam Ras,Kg,22960,,,,,
30/01/2018,Telur Ayam Kampung,butir,2170,,,,,
30/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11710,,,,,
30/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10140,,,,,
30/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,44567,,,,,
30/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42833,,,,,
30/01/2018,Jagung Pipilan Kecil,Kg,15900,,,,,
30/01/2018,Garam Beryodium Bata,250 gr,4200,,,,,
30/01/2018,Garam Beryodium Halus,Kg,11400,,,,,
30/01/2018,Tepung Terigu Segitiga Biru,Kg,10000,,,,,
30/01/2018,Kacang Kedelai Eks impor,Kg,12550,,,,,
30/01/2018,Kacang Kedelai Lokal,Kg,10667,,,,,
30/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2400,,,,,
30/01/2018,Cabe Merah Keriting,Kg,43840,,,,,
30/01/2018,Cabe Merah Besar,Kg,46740,,,,,
30/01/2018,Cabe Rawit Merah,Kg,46960,,,,,
30/01/2018,Cabe Rawit Hijau,Kg,44460,,,,,
30/01/2018,Bawang Merah (Medium),Kg,23760,,,,,
30/01/2018,Bawang Putih Impor (Kating),Kg,27460,,,,,
30/01/2018,Bawang Putih Impor (Honan),Kg,23500,,,,,
30/01/2018,Ikan Teri Asin,Kg,98260,,,,,
30/01/2018,Ikan Kembung,Kg,38660,,,,,
30/01/2018,Kacang Hijau,Kg,22060,,,,,
30/01/2018,Kacang Tanah,Kg,24000,,,,,
30/01/2018,Ketela Pohon,Kg,4960,,,,,
31/01/2018,Beras,Kg,10988,,,,,
31/01/2018,Gula Pasir,Kg,14040,,,,,
31/01/2018,Minyak Goreng Bimoli Botol,Liter,13540,,,,,
31/01/2018,Minyak Goreng Curah,Liter,12575,,,,,
31/01/2018,Daging Sapi  Lokal  Paha Belakang,Kg,121000,,,,,
31/01/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,118333,,,,,
31/01/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,89333,,,,,
31/01/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,71000,,,,,
31/01/2018,Daging Sapi  Impor  Beku,Kg,89150,,,,,
31/01/2018,Daging Sapi  Lokal  Has Dalam,Kg,143333,,,,,
31/01/2018,Ayam Boiler,ekor,38540,,,,,
31/01/2018,Ayam Kampung,ekor,74750,,,,,
31/01/2018,Telur Ayam Ras,Kg,22860,,,,,
31/01/2018,Telur Ayam Kampung,butir,2120,,,,,
31/01/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11750,,,,,
31/01/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10160,,,,,
31/01/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
31/01/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42433,,,,,
31/01/2018,Jagung Pipilan Kecil,Kg,15900,,,,,
31/01/2018,Garam Beryodium Bata,250 gr,3700,,,,,
31/01/2018,Garam Beryodium Halus,Kg,10460,,,,,
31/01/2018,Tepung Terigu Segitiga Biru,Kg,10300,,,,,
31/01/2018,Kacang Kedelai Eks impor,Kg,12000,,,,,
31/01/2018,Kacang Kedelai Lokal,Kg,10433,,,,,
31/01/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2400,,,,,
31/01/2018,Cabe Merah Keriting,Kg,42960,,,,,
31/01/2018,Cabe Merah Besar,Kg,46040,,,,,
31/01/2018,Cabe Rawit Merah,Kg,47500,,,,,
31/01/2018,Cabe Rawit Hijau,Kg,45500,,,,,
31/01/2018,Bawang Merah (Medium),Kg,24760,,,,,
31/01/2018,Bawang Putih Impor (Kating),Kg,26760,,,,,
31/01/2018,Bawang Putih Impor (Honan),Kg,26000,,,,,
31/01/2018,Ikan Teri Asin,Kg,107160,,,,,
31/01/2018,Ikan Kembung,Kg,38840,,,,,
31/01/2018,Kacang Hijau,Kg,21640,,,,,
31/01/2018,Kacang Tanah,Kg,23900,,,,,
31/01/2018,Ketela Pohon,Kg,4860,,,,,
