TANGGAL,KOMODITI,SATUAN,HARGA,,,,,
4/1/2018,Garam Beryodium Halus,Kg,13060,,,,,
4/1/2018,Tepung Terigu Segitiga Biru,Kg,9860,,,,,
4/1/2018,Kacang Kedelai Eks impor,Kg,12050,,,,,
4/1/2018,Kacang Kedelai Lokal,Kg,3333,,,,,
4/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2740,,,,,
4/1/2018,Cabe Merah Keriting,Kg,39340,,,,,
4/1/2018,Cabe Merah Besar,Kg,39260,,,,,
4/1/2018,Cabe Rawit Merah,Kg,61140,,,,,
4/1/2018,Cabe Rawit Hijau,Kg,41400,,,,,
4/1/2018,Bawang Merah (Medium),Kg,28400,,,,,
4/1/2018,Bawang Putih Impor (Kating),Kg,28660,,,,,
4/1/2018,Bawang Putih Impor (Honan),Kg,27500,,,,,
4/1/2018,Ikan Teri Asin,Kg,106000,,,,,
4/1/2018,Ikan Kembung,Kg,35860,,,,,
4/1/2018,Kacang Hijau,Kg,22540,,,,,
4/1/2018,Kacang Tanah,Kg,25600,,,,,
4/1/2018,Ketela Pohon,Kg,5060,,,,,
5/1/2018,Beras,Kg,11740,,,,,
5/1/2018,Gula Pasir,Kg,13640,,,,,
5/1/2018,Minyak Goreng Bimoli Botol,Liter,14040,,,,,
5/1/2018,Minyak Goreng Curah,Liter,12200,,,,,
5/1/2018,Daging Sapi Lokal Paha Belakang,Kg,119660,,,,,
5/1/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,120000,,,,,
5/1/2018,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,102500,,,,,
5/1/2018,Daging Sapi Lokal Daging Tetelan,Kg,76667,,,,,
5/1/2018,Daging Sapi Impor Beku,Kg,120000,,,,,
5/1/2018,Daging Sapi Lokal Has Dalam,Kg,146667,,,,,
5/1/2018,Ayam Boiler,ekor,36940,,,,,
5/1/2018,Ayam Kampung,ekor,78825,,,,,
5/1/2018,Telur Ayam Ras,Kg,26450,,,,,
5/1/2018,Telur Ayam Kampung,butir,2120,,,,,
5/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11940,,,,,
5/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10300,,,,,
5/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
5/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000,,,,,
5/1/2018,Jagung Pipilan Kecil,Kg,15167,,,,,
5/1/2018,Garam Beryodium Bata,250 gr,3100,,,,,
5/1/2018,Garam Beryodium Halus,Kg,11260,,,,,
5/1/2018,Tepung Terigu Segitiga Biru,Kg,9610,,,,,
5/1/2018,Kacang Kedelai Eks impor,Kg,12800,,,,,
5/1/2018,Kacang Kedelai Lokal,Kg,3333,,,,,
5/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2800,,,,,
5/1/2018,Cabe Merah Keriting,Kg,42340,,,,,
5/1/2018,Cabe Merah Besar,Kg,40260,,,,,
5/1/2018,Cabe Rawit Merah,Kg,57340,,,,,
5/1/2018,Cabe Rawit Hijau,Kg,40400,,,,,
5/1/2018,Bawang Merah (Medium),Kg,27900,,,,,
5/1/2018,Bawang Putih Impor (Kating),Kg,28960,,,,,
5/1/2018,Bawang Putih Impor (Honan),Kg,27500,,,,,
5/1/2018,Ikan Teri Asin,Kg,102000,,,,,
5/1/2018,Ikan Kembung,Kg,35360,,,,,
